caller_id,employee_id,call_start,wait_time,call_time,issue_category,satisfaction
c001,e01,2020-09-22T10:47:54Z,169,34,tech,3
c002,e01,2020-09-07T22:10:25Z,206,52,tech,2
c003,e01,2020-07-06T12:08:59Z,207,41,tech,2
c004,e01,2020-02-20T13:12:03Z,132,16,tech,4
c005,e01,2020-11-08T17:42:10Z,178,20,returns,3
c006,e01,2020-06-01T19:06:12Z,230,46,returns,2
c007,e01,2020-12-21T09:29:30Z,193,46,tech,2
c008,e01,2020-10-28T18:34:40Z,244,39,other,1
c009,e01,2020-04-13T18:28:59Z,222,46,tech,2
c010,e01,2020-05-04T14:19:47Z,136,20,returns,4
c011,e01,2020-10-22T02:19:35Z,224,22,returns,2
c012,e01,2020-02-10T23:20:25Z,216,34,other,2
c013,e01,2020-04-21T08:36:12Z,213,40,tech,2
c014,e01,2020-08-24T11:17:12Z,170,44,tech,4
c015,e01,2020-12-17T08:19:54Z,135,25,returns,4
c016,e01,2020-12-20T03:31:58Z,118,23,returns,4
c017,e01,2020-12-06T14:27:20Z,267,34,sales,1
c018,e01,2020-05-03T13:54:55Z,212,48,returns,2
c019,e01,2020-06-13T05:14:20Z,210,72,returns,2
c020,e01,2020-07-20T03:37:07Z,176,38,other,3
c021,e01,2020-08-03T06:30:52Z,229,17,returns,2
c022,e01,2020-08-29T03:10:26Z,314,40,returns,1
c023,e01,2020-10-15T03:56:45Z,176,52,tech,3
c024,e01,2020-05-18T21:07:52Z,209,37,tech,2
c025,e01,2020-01-19T00:22:08Z,248,58,sales,2
c026,e01,2020-12-20T22:40:13Z,267,35,sales,1
c027,e01,2020-11-10T14:11:55Z,201,22,tech,2
c028,e01,2020-11-05T00:41:06Z,226,26,tech,2
c029,e01,2020-09-09T11:58:34Z,170,46,returns,3
c030,e01,2020-11-22T17:44:45Z,230,31,returns,2
c031,e01,2020-05-20T16:07:32Z,154,25,returns,4
c032,e01,2020-01-09T05:23:07Z,208,22,tech,2
c033,e01,2020-04-23T10:05:15Z,201,19,tech,3
c034,e01,2020-08-05T23:18:12Z,250,34,tech,1
c035,e01,2020-01-13T09:34:01Z,130,26,tech,4
c036,e01,2020-09-14T01:47:06Z,258,24,returns,2
c037,e01,2020-05-23T23:44:52Z,165,26,tech,3
c038,e01,2020-11-02T16:26:35Z,159,39,returns,4
c039,e01,2020-03-01T12:06:23Z,186,27,returns,3
c040,e01,2020-05-25T06:30:05Z,274,58,returns,1
c041,e01,2020-05-10T04:25:34Z,80,19,tech,5
c042,e01,2020-03-07T23:19:30Z,232,41,tech,2
c043,e01,2020-07-18T05:33:25Z,118,37,tech,4
c044,e01,2020-12-08T03:02:58Z,156,15,sales,4
c045,e01,2020-10-03T09:02:13Z,230,42,returns,2
c046,e01,2020-03-29T05:53:01Z,262,26,tech,1
c047,e01,2020-01-14T12:27:19Z,217,18,returns,2
c048,e01,2020-01-19T05:20:21Z,212,39,returns,2
c049,e01,2020-03-25T15:09:57Z,96,20,returns,5
c050,e01,2020-09-01T16:02:35Z,180,30,other,3
c051,e01,2020-06-21T04:17:35Z,206,8,tech,3
c052,e01,2020-05-04T17:35:10Z,103,25,tech,5
c053,e01,2020-01-29T09:47:01Z,244,36,tech,1
c054,e01,2020-10-27T02:27:31Z,182,36,other,3
c055,e01,2020-07-09T17:37:22Z,242,41,tech,1
c056,e01,2020-03-09T08:14:41Z,211,50,tech,2
c057,e01,2020-12-07T19:25:48Z,144,11,tech,4
c058,e01,2020-11-27T19:39:21Z,58,17,sales,5
c059,e01,2020-08-17T14:45:04Z,189,22,tech,2
c060,e01,2020-04-13T03:12:40Z,200,21,sales,3
c061,e01,2020-11-17T23:21:08Z,194,57,other,3
c062,e01,2020-06-12T12:28:13Z,240,56,tech,2
c063,e01,2020-12-06T13:39:30Z,212,52,returns,3
c064,e02,2020-06-25T09:02:59Z,105,53,sales,5
c065,e02,2020-11-07T04:59:21Z,178,66,sales,4
